condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B1_method12_top50_g10,exp3_alignment_behavior,behavior_match,0.67,100,B1,feature_clamp,,,,,,
B1_method12_top500_g0,exp3_alignment_behavior,behavior_match,0.79,100,B1,feature_clamp,,,,,,
B1_method12_all_g0.25,exp3_alignment_behavior,behavior_match,0.6,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.5,exp3_alignment_behavior,behavior_match,0.58,100,B1,feature_clamp,,,,,,
B1_method12_top10_g10,exp3_alignment_behavior,behavior_match,0.55,100,B1,feature_clamp,,,,,,
B1_method12_top100_g0,exp3_alignment_behavior,behavior_match,0.8,100,B1,feature_clamp,,,,,,
B1_method12_top500_g0.25,exp3_alignment_behavior,behavior_match,0.79,100,B1,feature_clamp,,,,,,
B1_method12_all_g0.5,exp3_alignment_behavior,behavior_match,0.64,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g1,exp3_alignment_behavior,behavior_match,0.56,100,B1,feature_clamp,,,,,,
B1_baseline,coherent_assistant_rate,rate,0.9111338100102145,979,B1,none,,,,,,
B1_method12_top50_g0,coherent_assistant_rate,rate,0.9121552604698672,979,B1,feature_clamp,,,,,,
B1_method12_top100_g0.25,coherent_assistant_rate,rate,0.9346271705822268,979,B1,feature_clamp,,,,,,
B1_method12_top500_g0.5,coherent_assistant_rate,rate,0.916241062308478,979,B1,feature_clamp,,,,,,
B1_method12_all_g1,coherent_assistant_rate,rate,0.8355464759959143,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g2,coherent_assistant_rate,rate,0.916241062308478,979,B1,feature_clamp,,,,,,
B1_method12_top10_g0,coherent_assistant_rate,rate,0.8886618998978549,979,B1,feature_clamp,,,,,,
B1_method12_top50_g0.25,coherent_assistant_rate,rate,0.906026557711951,979,B1,feature_clamp,,,,,,
B1_method12_top100_g0.5,coherent_assistant_rate,rate,0.9305413687436159,979,B1,feature_clamp,,,,,,
B1_method12_top500_g1,coherent_assistant_rate,rate,0.8978549540347294,979,B1,feature_clamp,,,,,,
B1_method12_all_g2,coherent_assistant_rate,rate,0.7395301327885597,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g5,coherent_assistant_rate,rate,0.9029622063329928,979,B1,feature_clamp,,,,,,
B1_method12_top10_g0.25,coherent_assistant_rate,rate,0.8937691521961185,979,B1,feature_clamp,,,,,,
B1_method12_top50_g0.5,coherent_assistant_rate,rate,0.9080694586312564,979,B1,feature_clamp,,,,,,
B1_method12_top100_g1,coherent_assistant_rate,rate,0.9131767109295199,979,B1,feature_clamp,,,,,,
B1_method12_top500_g2,coherent_assistant_rate,rate,0.8712972420837589,979,B1,feature_clamp,,,,,,
B1_method12_all_g5,coherent_assistant_rate,rate,0.005107252298263534,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g10,coherent_assistant_rate,rate,0.3054136874361593,979,B1,feature_clamp,,,,,,
B1_method12_top10_g0.5,coherent_assistant_rate,rate,0.8907048008171604,979,B1,feature_clamp,,,,,,
B1_method12_top50_g1,coherent_assistant_rate,rate,0.9152196118488254,979,B1,feature_clamp,,,,,,
B1_method12_top100_g2,coherent_assistant_rate,rate,0.9121552604698672,979,B1,feature_clamp,,,,,,
B1_method12_top500_g5,coherent_assistant_rate,rate,0.0020429009193054137,979,B1,feature_clamp,,,,,,
B1_method12_all_g10,coherent_assistant_rate,rate,0.0,979,B1,feature_clamp,,,,,,
B1_method12_top10_g1,coherent_assistant_rate,rate,0.8978549540347294,979,B1,feature_clamp,,,,,,
B1_method12_top50_g2,coherent_assistant_rate,rate,0.9019407558733401,979,B1,feature_clamp,,,,,,
B1_method12_top100_g5,coherent_assistant_rate,rate,0.18794688457609807,979,B1,feature_clamp,,,,,,
B1_method12_top500_g10,coherent_assistant_rate,rate,0.0,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0,coherent_assistant_rate,rate,0.9131767109295199,979,B1,feature_clamp,,,,,,
B1_method12_top10_g2,coherent_assistant_rate,rate,0.906026557711951,979,B1,feature_clamp,,,,,,
B1_method12_top50_g5,coherent_assistant_rate,rate,0.6067415730337079,979,B1,feature_clamp,,,,,,
B1_method12_top100_g10,coherent_assistant_rate,rate,0.0,979,B1,feature_clamp,,,,,,
B1_method12_all_g0,coherent_assistant_rate,rate,0.8283963227783453,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.25,coherent_assistant_rate,rate,0.906026557711951,979,B1,feature_clamp,,,,,,
B1_method12_top10_g5,coherent_assistant_rate,rate,0.9080694586312564,979,B1,feature_clamp,,,,,,
B1_method12_top50_g10,coherent_assistant_rate,rate,0.012257405515832482,979,B1,feature_clamp,,,,,,
B1_method12_top500_g0,coherent_assistant_rate,rate,0.9080694586312564,979,B1,feature_clamp,,,,,,
B1_method12_all_g0.25,coherent_assistant_rate,rate,0.8406537282941777,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.5,coherent_assistant_rate,rate,0.916241062308478,979,B1,feature_clamp,,,,,,
B1_method12_top10_g10,coherent_assistant_rate,rate,0.86414708886619,979,B1,feature_clamp,,,,,,
B1_method12_top100_g0,coherent_assistant_rate,rate,0.9315628192032687,979,B1,feature_clamp,,,,,,
B1_method12_top500_g0.25,coherent_assistant_rate,rate,0.9050051072522982,979,B1,feature_clamp,,,,,,
B1_method12_all_g0.5,coherent_assistant_rate,rate,0.8518896833503575,979,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g1,coherent_assistant_rate,rate,0.9182839632277835,979,B1,feature_clamp,,,,,,
